Time (EDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Thu 03:00:41 PM	38.5138	-92.3331	↙ 238°	102	117	4,181	-300 Descending	 FlightAware ADS-B (KTBN)
Thu 03:00:57 PM	38.5100	-92.3408	↙ 237°	101	116	4,156	-115 Descending	 FlightAware ADS-B (KTBN)
Thu 03:01:20 PM	38.5043	-92.3518	↙ 240°	97	112	4,106	-75 Descending	 FlightAware ADS-B (KMHL)
Thu 03:01:37 PM	38.5008	-92.3607	↙ 242°	92	106	4,106	-38 Descending	 FlightAware ADS-B (KSZL)
Thu 03:01:59 PM	38.4957	-92.3699	↙ 228°	95	109	4,081	-33 Descending	 FlightAware ADS-B (KDMO)
Thu 03:02:22 PM	38.4887	-92.3797	↙ 231°	96	110	4,081	 Level	 FlightAware ADS-B (KVER)
Thu 03:02:41 PM	38.4833	-92.3884	↙ 236°	94	108	4,081	154 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:03:01 PM	38.4778	-92.3956	↙ 205°	91	105	4,181	333 Climbing	 FlightAware ADS-B (KDMO)
Thu 03:03:17 PM	38.4712	-92.3972	↓ 176°	94	108	4,281	237 Climbing	 FlightAware ADS-B (KDMO)
Thu 03:03:39 PM	38.4606	-92.3970	↓ 181°	99	114	4,331	 Level	 FlightAware ADS-B (KSZL)
Thu 03:04:08 PM	38.4471	-92.3962	↓ 178°	100	115	4,281	-78 Descending	 FlightAware ADS-B (KTBN)
Thu 03:04:37 PM	38.4334	-92.3955	↓ 182°	103	119	4,256	-31 Descending	 FlightAware ADS-B (KSZL)
Thu 03:04:56 PM	38.4253	-92.3976	↙ 217°	99	114	4,256	122 Climbing	 FlightAware ADS-B (KVER)
Thu 03:05:14 PM	38.4224	-92.4076	← 278°	96	110	4,331	125 Climbing	 FlightAware ADS-B (KTBN)
Thu 03:05:32 PM	38.4280	-92.4153	↑ 344°	107	123	4,331	-73 Descending	 FlightAware ADS-B (KCOU)
Thu 03:05:55 PM	38.4385	-92.4144	↑ 8°	103	119	4,281	-33 Descending	 FlightAware ADS-B (KCOU)
Thu 03:06:18 PM	38.4492	-92.4105	↑ 21°	100	115	4,306	-346 Descending	 FlightAware ADS-B (KCOU)
Thu 03:06:34 PM	38.4565	-92.4072	↑ 19°	107	123	4,056	-375 Descending	 FlightAware ADS-B (KCOU)
Thu 03:06:50 PM	38.4641	-92.4051	↑ 12°	100	115	4,106	-107 Descending	 FlightAware ADS-B (KSZL)
Thu 03:07:16 PM	38.4756	-92.4037	↑ 358°	99	114	3,981	-255 Descending	 FlightAware ADS-B (KJEF)
Thu 03:07:43 PM	38.4879	-92.4038	↑ 0°	103	119	3,881	 Level	 FlightAware ADS-B (KCOU)
Thu 03:08:00 PM	38.4951	-92.4040	↑ 359°	93	107	3,981	284 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:08:20 PM	38.5032	-92.4045	↑ 359°	91	105	4,056	154 Climbing	 FlightAware ADS-B (KTBN)
Thu 03:08:39 PM	38.5114	-92.4044	↑ 357°	87	100	4,081	122 Climbing	 FlightAware ADS-B (KDMO)
Thu 03:08:57 PM	38.5191	-92.4043	↑ 1°	89	102	4,131	88 Climbing	 FlightAware ADS-B (KTBN)
Thu 03:09:13 PM	38.5261	-92.4048	↑ 358°	92	106	4,131	44 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:09:31 PM	38.5331	-92.4039	↑ 1°	95	109	4,156	338 Climbing	 FlightAware ADS-B (KVER)
Thu 03:09:53 PM	38.5428	-92.4038	↑ 0°	90	104	4,356	183 Climbing	 FlightAware ADS-B (KJEF)
Thu 03:10:12 PM	38.5514	-92.4044	↑ 358°	96	110	4,281	-122 Descending	 FlightAware ADS-B (KCOU)
Thu 03:10:30 PM	38.5588	-92.4041	↑ 9°	95	109	4,281	88 Climbing	 FlightAware ADS-B (KTBN)
Thu 03:10:46 PM	38.5658	-92.4030	↑ 5°	91	105	4,331	-79 Descending	 FlightAware ADS-B (KVER)
Thu 03:11:08 PM	38.5742	-92.4013	↑ 11°	81	93	4,231	-670 Descending	 FlightAware ADS-B (KCOU)
Thu 03:11:33 PM	38.5834	-92.3976	↑ 18°	92	106	3,806	-732 Descending	 FlightAware ADS-B (KDMO)
Thu 03:11:49 PM	38.5904	-92.3952	↑ 15°	97	112	3,731	-154 Descending	 FlightAware ADS-B (KJEF)
Thu 03:12:12 PM	38.6011	-92.3929	↑ 5°	101	116	3,706	-38 Descending	 FlightAware ADS-B (KSZL)
Thu 03:12:28 PM	38.6081	-92.3922	↑ 5°	95	109	3,706	189 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:12:52 PM	38.6189	-92.3913	↑ 2°	93	107	3,832	171 Climbing	 FlightAware ADS-B (KJEF)
Thu 03:13:21 PM	38.6310	-92.3913	↑ 355°	94	108	3,857	31 Climbing	 FlightAware ADS-B (KVER)
Thu 03:13:40 PM	38.6397	-92.3919	↑ 357°	95	109	3,857	267 Climbing	 FlightAware ADS-B (KVER)
Thu 03:14:06 PM	38.6510	-92.3917	↑ 4°	90	104	4,057	321 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:14:22 PM	38.6588	-92.3917	↑ 359°	95	109	4,082	214 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:14:41 PM	38.6671	-92.3916	↑ 359°	97	112	4,182	107 Climbing	 FlightAware ADS-B (KDMO)
Thu 03:15:04 PM	38.6771	-92.3922	↑ 357°	98	113	4,157	-38 Descending	 FlightAware ADS-B (KMHL)
Thu 03:15:21 PM	38.6850	-92.3925	↑ 356°	96	110	4,157	44 Climbing	 FlightAware ADS-B (KTBN)
Thu 03:15:38 PM	38.6924	-92.3924	↑ 11°	101	116	4,182	41 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:15:58 PM	38.7014	-92.3910	↑ 5°	98	113	4,182	79 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:16:16 PM	38.7100	-92.3907	↑ 359°	99	114	4,232	167 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:16:34 PM	38.7178	-92.3911	↑ 355°	100	115	4,282	150 Climbing	 FlightAware ADS-B (KJEF)
Thu 03:16:56 PM	38.7285	-92.3902	↑ 4°	104	120	4,332	105 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:17:17 PM	38.7377	-92.3898	↑ 3°	97	112	4,357	 Level	 FlightAware ADS-B (KVER)
Thu 03:17:42 PM	38.7493	-92.3892	↑ 358°	98	113	4,332	105 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:18:00 PM	38.7581	-92.3891	↑ 6°	101	116	4,432	132 Climbing	 FlightAware ADS-B (KTBN)
Thu 03:18:16 PM	38.7653	-92.3886	↑ 2°	101	116	4,407	 Level	 FlightAware ADS-B (KTBN)
Thu 03:18:44 PM	38.7788	-92.3884	↑ 359°	102	117	4,432	 Level	 FlightAware ADS-B (KCOU)
Thu 03:19:03 PM	38.7876	-92.3884	↑ 0°	109	125	4,407	-33 Descending	 FlightAware ADS-B (KTBN)
Thu 03:19:30 PM	38.8008	-92.3871	↑ 3°	105	121	4,407	-382 Descending	 FlightAware ADS-B (KCOU)
Thu 03:19:58 PM	38.8143	-92.3868	↑ 0°	101	116	4,057	-389 Descending	 FlightAware ADS-B (KDMO)
Thu 03:20:24 PM	38.8261	-92.3868	↑ 359°	97	112	4,057	-36 Descending	 FlightAware ADS-B (KDMO)
Thu 03:20:40 PM	38.8330	-92.3871	↑ 1°	101	116	4,032	35 Climbing	 FlightAware ADS-B (KVER)
Thu 03:21:07 PM	38.8457	-92.3866	↑ 1°	90	104	4,082	65 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:21:27 PM	38.8531	-92.3904	← 313°	89	102	4,083	2 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:21:45 PM	38.8565	-92.3986	← 281°	92	106	4,083	-81 Descending	 FlightAware ADS-B (KSZL)
Thu 03:22:04 PM	38.8565	-92.4096	← 267°	98	113	4,033	-105 Descending	 FlightAware ADS-B (KDMO)
Thu 03:22:28 PM	38.8558	-92.4239	← 273°	101	116	4,008	67 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:22:49 PM	38.8565	-92.4351	← 271°	94	108	4,083	77 Climbing	 FlightAware ADS-B (KDMO)
Thu 03:23:07 PM	38.8562	-92.4460	← 267°	97	112	4,058	33 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:23:35 PM	38.8553	-92.4613	← 264°	92	106	4,108	29 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:23:59 PM	38.8552	-92.4755	← 272°	98	113	4,083	-28 Descending	 FlightAware ADS-B (KDMO)
Thu 03:24:28 PM	38.8559	-92.4918	← 277°	98	113	4,083	-51 Descending	 FlightAware ADS-B (KSZL)
Thu 03:24:58 PM	38.8567	-92.5088	← 274°	97	112	4,033	-82 Descending	 FlightAware ADS-B (KCOU)
Thu 03:25:23 PM	38.8572	-92.5229	← 270°	98	113	4,008	33 Climbing	 FlightAware ADS-B (KVER)
Thu 03:25:44 PM	38.8574	-92.5348	← 271°	92	106	4,058	67 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:26:08 PM	38.8573	-92.5479	← 269°	95	109	4,058	 Level	 FlightAware ADS-B (KMHL)
Thu 03:26:30 PM	38.8572	-92.5604	← 272°	93	107	4,058	35 Climbing	 FlightAware ADS-B (KVER)
Thu 03:26:51 PM	38.8572	-92.5715	← 268°	93	107	4,083	 Level	 FlightAware ADS-B (KMHL)
Thu 03:27:08 PM	38.8572	-92.5813	← 272°	95	109	4,058	-43 Descending	 FlightAware ADS-B (KVER)
Thu 03:27:26 PM	38.8576	-92.5923	← 266°	95	109	4,058	176 Climbing	 FlightAware ADS-B (KVER)
Thu 03:27:42 PM	38.8571	-92.6009	← 267°	95	109	4,158	136 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:27:59 PM	38.8569	-92.6108	← 268°	101	116	4,133	-136 Descending	 FlightAware ADS-B (KDMO)
Thu 03:28:15 PM	38.8565	-92.6199	← 268°	102	117	4,083	 Level	 FlightAware ADS-B (KSZL)
Thu 03:28:31 PM	38.8568	-92.6300	← 272°	99	114	4,133	91 Climbing	 FlightAware ADS-B (KVER)
Thu 03:28:48 PM	38.8573	-92.6394	← 273°	96	110	4,133	-91 Descending	 FlightAware ADS-B (KCOU)
Thu 03:29:04 PM	38.8542	-92.6469	↙ 208°	102	117	4,083	-45 Descending	 FlightAware ADS-B (KVER)
Thu 03:29:21 PM	38.8468	-92.6443	↘ 125°	106	122	4,108	214 Climbing	 FlightAware ADS-B (KVER)
Thu 03:29:39 PM	38.8470	-92.6338	↗ 55°	111	128	4,208	 Level	 FlightAware ADS-B (KSZL)
Thu 03:29:58 PM	38.8561	-92.6310	↖ 337°	110	127	4,108	-167 Descending	 FlightAware ADS-B (KDMO)
Thu 03:30:15 PM	38.8604	-92.6384	← 277°	102	117	4,108	-214 Descending	 FlightAware ADS-B (KSZL)
Thu 03:30:33 PM	38.8647	-92.6477	↑ 346°	108	124	3,983	-43 Descending	 FlightAware ADS-B (KVER)
Thu 03:30:50 PM	38.8715	-92.6445	↗ 50°	105	121	4,083	42 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:31:09 PM	38.8706	-92.6329	↘ 137°	107	123	4,008	-122 Descending	 FlightAware ADS-B (KDMO)
Thu 03:31:27 PM	38.8631	-92.6337	↙ 230°	98	113	4,008	-43 Descending	 FlightAware ADS-B (KVER)
Thu 03:31:44 PM	38.8634	-92.6426	← 308°	97	112	3,983	43 Climbing	 FlightAware ADS-B (KDMO)
Thu 03:32:02 PM	38.8709	-92.6444	↗ 24°	102	117	4,033	42 Climbing	 FlightAware ADS-B (KVER)
Thu 03:32:20 PM	38.8736	-92.6340	↘ 114°	105	121	4,008	 Level	 FlightAware ADS-B (KVER)
Thu 03:32:39 PM	38.8661	-92.6297	↓ 197°	95	109	4,033	-86 Descending	 FlightAware ADS-B (KVER)
Thu 03:32:55 PM	38.8623	-92.6366	← 272°	99	114	3,958	 Level	 FlightAware ADS-B (KVER)
Thu 03:33:12 PM	38.8668	-92.6429	↑ 345°	97	112	4,033	192 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:33:34 PM	38.8772	-92.6426	↑ 1°	98	113	4,083	163 Climbing	 FlightAware ADS-B (KVER)
Thu 03:34:44 PM	38.8668	-92.6504	→ 102°	107	123	4,283	174 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:35:00 PM	38.8690	-92.6407	↗ 49°	110	127	4,333	122 Climbing	 FlightAware ADS-B (KVER)
Thu 03:35:21 PM	38.8783	-92.6372	↑ 356°	102	117	4,358	-122 Descending	 FlightAware ADS-B (KDMO)
Thu 03:35:37 PM	38.8831	-92.6442	← 274°	104	120	4,258	-281 Descending	 FlightAware ADS-B (KCOU)
Thu 03:35:53 PM	38.8796	-92.6516	↙ 213°	105	121	4,208	-171 Descending	 FlightAware ADS-B (KSZL)
Thu 03:36:12 PM	38.8703	-92.6520	↘ 148°	115	132	4,158	231 Climbing	 FlightAware ADS-B (KVER)
Thu 03:36:32 PM	38.8641	-92.6413	↘ 123°	106	122	4,358	167 Climbing	 FlightAware ADS-B (KVER)
Thu 03:36:48 PM	38.8595	-92.6325	↘ 124°	110	127	4,258	-422 Descending	 FlightAware ADS-B (KSZL)
Thu 03:37:04 PM	38.8551	-92.6239	↘ 124°	117	135	4,133	-375 Descending	 FlightAware ADS-B (KVER)
Thu 03:37:24 PM	38.8490	-92.6125	↘ 125°	114	131	4,033	-110 Descending	 FlightAware ADS-B (KCOU)
Thu 03:37:45 PM	38.8433	-92.6013	↘ 123°	111	128	4,058	 Level	 FlightAware ADS-B (KDMO)
Thu 03:38:09 PM	38.8359	-92.5885	↘ 125°	111	128	4,033	-31 Descending	 FlightAware ADS-B (KMHL)
Thu 03:38:33 PM	38.8287	-92.5766	↘ 129°	107	123	4,033	 Level	 FlightAware ADS-B (KMHL)
Thu 03:38:58 PM	38.8211	-92.5637	↘ 128°	113	130	4,033	115 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:39:25 PM	38.8130	-92.5494	↘ 127°	106	122	4,133	53 Climbing	 FlightAware ADS-B (KTBN)
Thu 03:39:55 PM	38.8042	-92.5340	↘ 127°	109	125	4,083	72 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:40:27 PM	38.7942	-92.5169	↘ 127°	112	129	4,207	99 Climbing	 FlightAware ADS-B (KDMO)
Thu 03:40:55 PM	38.7850	-92.5023	↘ 127°	112	129	4,182	-188 Descending	 FlightAware ADS-B (KSZL)
Thu 03:41:15 PM	38.7790	-92.4919	↘ 132°	114	131	4,057	41 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:41:32 PM	38.7730	-92.4840	↘ 138°	106	122	4,207	154 Climbing	 FlightAware ADS-B (KSZL)
Thu 03:41:54 PM	38.7643	-92.4751	↘ 145°	111	128	4,157	-115 Descending	 FlightAware ADS-B (KSZL)
Thu 03:42:24 PM	38.7519	-92.4636	↘ 145°	109	125	4,107	98 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:42:40 PM	38.7463	-92.4584	↘ 147°	104	120	4,232	-42 Descending	 FlightAware ADS-B (KVER)
Thu 03:43:00 PM	38.7369	-92.4512	↘ 149°	109	125	4,082	-255 Descending	 FlightAware ADS-B (KDMO)
Thu 03:43:27 PM	38.7264	-92.4413	↘ 136°	109	125	4,032	-191 Descending	 FlightAware ADS-B (KDMO)
Thu 03:43:47 PM	38.7191	-92.4317	↘ 133°	108	124	3,932	-203 Descending	 FlightAware ADS-B (KDMO)
Thu 03:44:04 PM	38.7135	-92.4245	↘ 136°	108	124	3,907	167 Climbing	 FlightAware ADS-B (KMHL)
Thu 03:44:23 PM	38.7072	-92.4158	↘ 128°	110	127	4,032	167 Climbing	 FlightAware ADS-B (KVER)
Thu 03:44:40 PM	38.7022	-92.4079	↘ 130°	103	119	4,007	-344 Descending	 FlightAware ADS-B (KVER)
Thu 03:45:11 PM	38.6926	-92.3926	↘ 125°	101	116	3,757	-479 Descending	 FlightAware ADS-B (KVER)
Thu 03:45:27 PM	38.6878	-92.3839	↘ 126°	104	120	3,632	-333 Descending	 FlightAware ADS-B (KCOU)
Thu 03:45:47 PM	38.6827	-92.3747	↘ 125°	104	120	3,557	-244 Descending	 FlightAware ADS-B (KJEF)
Thu 03:46:10 PM	38.6763	-92.3634	↘ 128°	107	123	3,457	-163 Descending	 FlightAware ADS-B (KJEF)
Thu 03:46:33 PM	38.6699	-92.3520	↘ 126°	103	119	3,432	-256 Descending	 FlightAware ADS-B (KTBN)
Thu 03:46:51 PM	38.6646	-92.3427	↘ 127°	101	116	3,282	-429 Descending	 FlightAware ADS-B (KCOU)
Thu 03:47:15 PM	38.6570	-92.3312	↘ 131°	104	120	3,132	-329 Descending	 FlightAware ADS-B (KDMO)
Thu 03:47:32 PM	38.6517	-92.3233	↘ 122°	107	123	3,057	-171 Descending	 FlightAware ADS-B (KCOU)
Thu 03:47:50 PM	38.6469	-92.3139	↘ 123°	104	120	3,032	-206 Descending	 FlightAware ADS-B (KCOU)
Thu 03:48:16 PM	38.6407	-92.2995	↘ 117°	104	120	2,906	-430 Descending	 FlightAware ADS-B (KCOU)
Thu 03:48:46 PM	38.6339	-92.2837	↘ 120°	108	124	2,631	-450 Descending	 FlightAware ADS-B (KJEF)
Thu 03:49:06 PM	38.6293	-92.2727	↘ 116°	105	121	2,531	-208 Descending	 FlightAware ADS-B (KJEF)
Thu 03:49:22 PM	38.6256	-92.2634	↘ 118°	105	121	2,506	-174 Descending	 FlightAware ADS-B (KDMO)
Thu 03:49:49 PM	38.6187	-92.2488	↘ 122°	100	115	2,406	-197 Descending	 FlightAware ADS-B (KCOU)
Thu 03:50:00 PM	38.6163	-92.2438	↘ 121°	102	117	2,381	-362 Descending	 Surface and Near-Surface
Thu 03:51:16 PM	38.5955	-92.2069	↘ 127°	101	116	1,881	-391 Descending	 FlightAware ADS-B (KCOU)
Thu 03:51:32 PM	38.5912	-92.1995	↘ 126°	102	117	1,781	-422 Descending	 FlightAware ADS-B (KJEF)
Thu 03:51:48 PM	38.5870	-92.1916	↘ 121°	104	120	1,656	-328 Descending	 FlightAware ADS-B (KJEF)
Thu 03:52:04 PM	38.5828	-92.1825	↘ 120°	105	121	1,606	 Level	 FlightAware ADS-B (KJEF)
Thu 03:52:22 PM	38.5783	-92.1726	↘ 120°	105	121	1,656	44 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:52:38 PM	38.5748	-92.1647	↘ 117°	105	121	1,631	-94 Descending	 FlightAware ADS-B (KVER)
Thu 03:52:54 PM	38.5712	-92.1559	↘ 119°	99	114	1,606	-309 Descending	 FlightAware ADS-B (KVER)
Thu 03:53:12 PM	38.5675	-92.1480	↘ 122°	88	101	1,456	-175 Descending	 FlightAware ADS-B (KVER)
Thu 03:56:22 PM	38.5999	-92.1719	← 304°	76	87	1,000	-45 Descending	 FlightAware ADS-B (KJEF)
Thu 03:56:42 PM	38.6020	-92.1801	↙ 242°	79	91	1,300	973 Climbing	 FlightAware ADS-B (KJEF)
Thu 03:56:59 PM	38.5970	-92.1844	↙ 208°	87	100	1,600	529 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:57:16 PM	38.5899	-92.1859	↓ 161°	97	112	1,600	 Level	 FlightAware ADS-B (KVER)
Thu 03:57:32 PM	38.5844	-92.1783	↘ 124°	109	125	1,600	 Level	 FlightAware ADS-B (KCOU)
Thu 03:57:49 PM	38.5801	-92.1696	↘ 123°	109	125	1,600	 Level	 FlightAware ADS-B (KVER)
Thu 03:58:08 PM	38.5747	-92.1589	↘ 122°	110	127	1,600	-150 Descending	 FlightAware ADS-B (KCOU)
Thu 03:58:29 PM	38.5697	-92.1489	↘ 124°	86	99	1,500	-140 Descending	 FlightAware ADS-B (KVER)
Thu 04:01:43 PM	38.6007	-92.1721	← 311°	78	90	1,100	-29 Descending	 FlightAware ADS-B (KJEF)
Thu 04:01:59 PM	38.6003	-92.1785	↙ 224°	80	92	1,400	909 Climbing	 FlightAware ADS-B (KVER)
Thu 04:02:16 PM	38.5942	-92.1835	↙ 209°	92	106	1,600	353 Climbing	 FlightAware ADS-B (KCOU)
Thu 04:02:33 PM	38.5880	-92.1826	↘ 139°	99	114	1,600	 Level	 FlightAware ADS-B (KJEF)
Thu 04:02:53 PM	38.5823	-92.1727	↘ 122°	103	119	1,600	 Level	 FlightAware ADS-B (KVER)
Thu 04:03:11 PM	38.5777	-92.1632	↘ 121°	106	122	1,600	 Level	 FlightAware ADS-B (KVER)
Thu 04:03:28 PM	38.5734	-92.1550	↘ 125°	100	115	1,600	-324 Descending	 FlightAware ADS-B (KVER)
Thu 04:03:48 PM    Arrival (KJEF) @ Thursday 03:03:48 PM CDT			 FlightAware
Thu 04:03:48 PM	38.5686	-92.1459	↘ 124°	87	100	1,400	-600 Descending	 FlightAware ADS-B (KVER)
