Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Fri 17:03:57	38.6082	-92.1800	↙ 210°	85	1,200	-563 Descending	 FlightAware ADS-B (KJEF)
Fri 17:04:13	38.6027	-92.1793	↘ 128°	79	1,000	-686 Descending	 FlightAware ADS-B (KJEF)
Fri 17:04:32	38.5995	-92.1719	↘ 120°	72	800	208 Climbing	 FlightAware ADS-B (KJEF)
Fri 17:06:37	38.5900	-92.1299	↑ 347°	74	1,500	380 Climbing	 FlightAware ADS-B (KCOU)
Fri 17:06:54	38.5937	-92.1356	← 302°	84	1,700	343 Climbing	 FlightAware ADS-B (KDMO)
Fri 17:07:12	38.5978	-92.1436	← 304°	89	1,700	 Level	 FlightAware ADS-B (KDMO)
Fri 17:07:29	38.6022	-92.1518	← 307°	96	1,700	-171 Descending	 FlightAware ADS-B (KJEF)
Fri 17:07:47	38.6070	-92.1589	← 309°	81	1,600	-529 Descending	 FlightAware ADS-B (KVER)
Fri 17:08:03	38.6109	-92.1649	← 310°	80	1,400	-563 Descending	 FlightAware ADS-B (KVER)
Fri 17:08:19	38.6133	-92.1712	← 274°	81	1,300	-545 Descending	 FlightAware ADS-B (KVER)
Fri 17:08:36	38.6095	-92.1782	↙ 220°	88	1,100	-500 Descending	 FlightAware ADS-B (KJEF)
Fri 17:08:55	38.6026	-92.1777	↘ 147°	85	1,000	-500 Descending	 FlightAware ADS-B (KJEF)
Fri 17:09:12    Arrival (KJEF) @ Friday 17:09:12 CDT		 FlightAware
Fri 17:09:12	38.5991	-92.1708	↘ 147°	85	800	-706 Descending	 FlightAware ADS-B (KJEF)
